Ref,Val,Package,PosX,PosY,Rot,Side
"C8","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",10.025000,9.325000,180.000000,bottom
"C9","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",59.025000,9.400000,180.000000,bottom
"C10","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",11.500000,19.750000,90.000000,bottom
"C11","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",60.500000,19.750000,90.000000,bottom
"C12","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",4.500000,19.750000,90.000000,bottom
"C13","CAP-10N-10%-50V-X7R-0402_002","C_0402_1005Metric",53.500000,19.750000,90.000000,bottom
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",7.250000,1.250000,0.000000,bottom
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",27.000000,22.200000,0.000000,bottom
"FID5","FID_001","Fiducial_0.5mm_Mask1mm",62.740000,7.450000,0.000000,bottom
"R7","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",10.025000,10.325000,0.000000,bottom
"R8","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",59.000000,10.425000,0.000000,bottom
"R9","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",9.500000,19.750000,270.000000,bottom
"R10","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",10.500000,19.750000,90.000000,bottom
"R11","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",58.500000,19.750000,270.000000,bottom
"R12","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",59.500000,19.750000,90.000000,bottom
"R13","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",6.500000,19.750000,270.000000,bottom
"R14","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",5.500000,19.750000,90.000000,bottom
"R15","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",55.500000,19.750000,270.000000,bottom
"R16","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",54.500000,19.750000,90.000000,bottom
"C1","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",37.750000,10.500000,0.000000,top
"C2","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",27.000000,14.250000,0.000000,top
"C3","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",30.000000,10.500000,180.000000,top
"C4","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",37.750000,8.250000,180.000000,top
"C5","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",35.750000,12.770000,90.000000,top
"C6","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",37.750000,7.000000,180.000000,top
"C7","CAP-100N-10%-16V-X7R-0402_001","C_0402_1005Metric",30.650000,18.240000,0.000000,top
"C14","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",20.700000,19.750000,270.000000,top
"C15","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",14.700000,19.800000,270.000000,top
"C16","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",25.300000,18.750000,90.000000,top
"C17","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",19.300000,18.700000,90.000000,top
"D1","LED-BLUE-0603_001","LED_0603_1608Metric",55.750000,3.650000,180.000000,top
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",25.750000,1.500000,0.000000,top
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",62.920000,22.780000,0.000000,top
"FID6","FID_001","Fiducial_0.5mm_Mask1mm",1.400000,21.200000,0.000000,top
"J2","PJ-320D","TRRS-PJ-320D",19.750000,6.500000,90.000000,top
"J3","PJ-320D","TRRS-PJ-320D",45.250000,6.500000,90.000000,top
"L1","FERR-BEAD-600OHM@100MHZ-0.7A-0.34OHM-0402","L_0402_1005Metric",27.000000,13.250000,180.000000,top
"R1","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",36.250000,15.000000,0.000000,top
"R2","RES-330K-1%-0.063W-0402_001","R_0402_1005Metric",37.750000,6.000000,180.000000,top
"R3","RES-330K-1%-0.063W-0402_001","R_0402_1005Metric",37.750000,9.250000,180.000000,top
"R4","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",38.250000,21.000000,90.000000,top
"R5","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",42.000000,21.000000,90.000000,top
"R6","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",40.150000,21.020000,90.000000,top
"R17","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",56.200000,4.975000,0.000000,top
"U1","SGTL5000_QFN32","QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias_0.3mm",32.000000,14.500000,0.000000,top
"U2","XC6206P182MR","SOT-23",23.000000,19.250000,90.000000,top
"U3","XC6206P332MR","SOT-23",17.000000,19.250000,90.000000,top
"X1","OSC-XO-CMOS-12.288M-2520_001","Oscillator_SMD_4Pin_2.5x2.0mm",37.750000,12.750000,90.000000,top
